2024-09-12 15:05:38 : Data read from ./data/Openvino_data.json
2024-09-12 15:05:38 : Readme file saved for 3D-pose-estimation-webcam
2024-09-12 15:05:38 : Readme file saved for 3D-segmentation-point-clouds
2024-09-12 15:05:39 : Readme file saved for action-recognition-webcam
2024-09-12 15:05:39 : Readme file saved for amused-lightweight-text-to-image
2024-09-12 15:05:39 : Readme file saved for animate-anyone
2024-09-12 15:05:40 : Readme file saved for async-api
2024-09-12 15:05:40 : Readme file saved for auto-device
2024-09-12 15:05:40 : Readme file saved for bark-text-to-audio
2024-09-12 15:05:41 : Readme file saved for big-transfer-quantization
2024-09-12 15:05:41 : Readme file saved for blip-visual-language-processing
2024-09-12 15:05:41 : Readme file saved for clip-language-saliency-map
2024-09-12 15:05:41 : Readme file saved for clip-zero-shot-image-classification
2024-09-12 15:05:42 : Readme file saved for controlnet-stable-diffusion
2024-09-12 15:05:42 : Readme file saved for convert-to-openvino
2024-09-12 15:05:42 : Readme file saved for cross-lingual-books-alignment
2024-09-12 15:05:42 : Readme file saved for ct-segmentation-quantize
2024-09-12 15:05:43 : Readme file saved for ddcolor-image-colorization
2024-09-12 15:05:43 : Readme file saved for depth-anything
2024-09-12 15:05:43 : Readme file saved for detectron2-to-openvino
2024-09-12 15:05:44 : Readme file saved for distil-whisper-asr
2024-09-12 15:05:44 : Readme file saved for distilbert-sequence-classification
2024-09-12 15:05:44 : Readme file saved for dolly-2-instruction-following
2024-09-12 15:05:45 : Readme file saved for dynamicrafter-animating-images
2024-09-12 15:05:45 : Readme file saved for efficient-sam
2024-09-12 15:05:45 : Readme file saved for encodec-audio-compression
2024-09-12 15:05:46 : Readme file saved for explainable-ai-1-basic
2024-09-12 15:05:46 : Readme file saved for explainable-ai-2-deep-dive
2024-09-12 15:05:46 : Readme file saved for explainable-ai-3-map-interpretation
2024-09-12 15:05:47 : Readme file saved for fast-segment-anything
2024-09-12 15:05:47 : Readme file saved for film-slowmo
2024-09-12 15:05:48 : Readme file saved for florence2
2024-09-12 15:05:48 : Readme file saved for flux.1-image-generation
2024-09-12 15:05:49 : Readme file saved for freevc-voice-conversion
2024-09-12 15:05:49 : Readme file saved for gpu-device
2024-09-12 15:05:49 : Readme file saved for grammar-correction
2024-09-12 15:05:50 : Readme file saved for grounded-segment-anything
2024-09-12 15:05:50 : Readme file saved for handwritten-ocr
2024-09-12 15:05:51 : Readme file saved for hello-detection
2024-09-12 15:05:51 : Readme file saved for hello-npu
2024-09-12 15:05:51 : Readme file saved for hello-segmentation
2024-09-12 15:05:52 : Readme file saved for hello-world
2024-09-12 15:05:52 : Readme file saved for hugging-face-hub
2024-09-12 15:05:53 : Readme file saved for hunyuan-dit-image-generation
2024-09-12 15:05:53 : Readme file saved for image-bind
2024-09-12 15:05:54 : Readme file saved for image-classification-quantization
2024-09-12 15:05:54 : Readme file saved for instant-id
2024-09-12 15:05:54 : Readme file saved for instruct-pix2pix-image-editing
2024-09-12 15:05:55 : Readme file saved for internvl2
2024-09-12 15:05:55 : Readme file saved for jina-clip
2024-09-12 15:05:56 : Readme file saved for knowledge-graphs-conve
2024-09-12 15:05:56 : Readme file saved for kosmos2-multimodal-large-language-model
2024-09-12 15:05:57 : Readme file saved for language-quantize-bert
